id,title,price,url,image_url,series,processor,graphics,memory,storage,display,wifi,battery,others
25316,ASUS Zenbook S16 (UM5606); Copilot+ PC,8999.00,https://www.asus.com/my/laptops/for-home/zenbook/asus-zenbook-s-16-um5606/,https://dlcdnwebimgs.asus.com/gain/ffb8dfaa-fbf2-4f74-aad1-24af2b901c4d/w185,ASUS Official,Up to AMD Ryzen™ AI 9 HX 370 processor,AMD Radeon Graphics,,Up to 1 TB PCIe ® Gen 4 SSD,Up to 32 GB LPDDR5x 7500 MHz RAM,WiFi 7 (802.11be),,"Windows 11 Home - ASUS recommends Windows 11 Pro for business | 16:10 3K ASUS Lumina OLED display | Thin and light:1.1cm, 1.5kg | 6 built-in speakers"
23906,ASUS ExpertBook CX54 Chromebook Plus(CX5403),,https://www.asus.com/my/laptops/for-home/chromebook/asus-expertbook-cx54-chromebook-plus-cx5403/,https://dlcdnwebimgs.asus.com/gain/e39286b5-b991-4864-ad5a-3e8bab961963/w185,ASUS Official,Up to Intel® Core™ Ultra 7 processor,Intel Integrated Graphics,Up to 16 GB memory,,16:10 WQXGA display,,,Chromebook Plus | 1.3 kg all-metal chassis | Anti-glare and anti-fingerprint screen
20860,ASUS Vivobook 14 (A1405),,https://www.asus.com/my/laptops/for-home/vivobook/asus-vivobook-14-a1405/,https://dlcdnwebimgs.asus.com/gain/9548130d-f8f7-4bc7-b44c-3375331f9a84/w185,ASUS Official,Up to Intel ® Core™ 7 Series 1 processor,Intel Integrated Graphics,Up to 16 GB DDR4 memory,Up to 1 TB SSD storage,,,,Windows 11 Home - ASUS recommends Windows 11 Home for business | Up to 14” NanoEdge display | Optional fingerprint login sensor | ASUS Antimicrobial Guard Plus
25176,ASUS Chromebook CR12 Flip (CR1204F),,https://www.asus.com/my/laptops/for-students/chromebook/asus-chromebook-cr12-flip-cr1204f/,https://dlcdnwebimgs.asus.com/gain/fcb195d4-c86d-46f1-8664-ccfbf071d065/w185,ASUS Official,Intel® Processor N-series processor,Intel® UHD graphics,Up to 16 GB memory,,16:10 WUXGA display,,,ChromeOS | 128 GB eMMC | Military-grade reliability | 13MP World-Facing Camera
23895,ASUS BR1104C,,https://www.asus.com/my/laptops/for-students/br-series/asus-br1104c/,https://dlcdnwebimgs.asus.com/gain/4215112a-2fcb-4d7e-ac6d-ef4c9221869d/w185,ASUS Official,Up to Intel® Processor N250,Intel Integrated Graphics,,,,,,Windows 11 Pro Education | MIL-STD 810H US military durability standard | Modular design for easy maintenance | Comprehensive connectivity
23896,ASUS BR1104F,,https://www.asus.com/my/laptops/for-students/br-series/asus-br1104f/,https://dlcdnwebimgs.asus.com/gain/6d160165-1a87-433e-b20e-3eb7e1411a99/w185,ASUS Official,Up to Intel® Processor N250,Intel Integrated Graphics,,,,,,Windows 11 Pro Education | MIL-STD 810H US military durability standard | Modular design for easy maintenance | Comprehensive connectivity
23901,ASUS BR1204C,,https://www.asus.com/my/laptops/for-students/br-series/asus-br1204c/,https://dlcdnwebimgs.asus.com/gain/c936ad60-cf8c-4b32-a721-a270316a9ee7/w185,ASUS Official,Up to Intel® Processor N250,Intel Integrated Graphics,,,,,,Windows 11 Pro Education | Marvelous 12.2” rugged laptop with 16:10 display for superb visual experiences | MIL-STD 810H US military durability standard | Modular design for easy maintenance
23902,ASUS BR1204F,,https://www.asus.com/my/laptops/for-students/br-series/asus-br1204f/,https://dlcdnwebimgs.asus.com/gain/2f90a7b1-8d72-4433-9423-205fe57e52b0/w185,ASUS Official,Up to Intel® Processor N250,Intel Integrated Graphics,,,,,,Windows 11 Pro Education | Marvelous 12.2” rugged laptop with 16:10 display for superb visual experiences | MIL-STD 810H US military durability standard | Modular design for easy maintenance
20841,ASUS Vivobook 16 (A1605),,https://www.asus.com/my/laptops/for-home/vivobook/vivobook-16-a1605/,https://dlcdnwebimgs.asus.com/gain/7adac3c9-a8d5-46f4-9507-a1df684f683d/w185,ASUS Official,Up to Intel ® Core™ 5 Series 1 processor,Intel Integrated Graphics,Up to 16 GB DDR4 memory,Up to 512 GB SSD storage,,,,Windows 11 Home - ASUS recommends Windows 11 Home for business | Up to 16” NanoEdge display | Optional fingerprint login sensor | ASUS Antimicrobial Guard Plus
23980,ASUS Vivobook S 14 (S5406),5099.00,https://www.asus.com/my/laptops/for-home/vivobook/asus-vivobook-s-14-oled-s5406/,https://dlcdnwebimgs.asus.com/gain/94332ee6-a61b-470a-a100-244ef9cfc139/w185,ASUS Official,Up to Intel ® Core™ Ultra 9 Processor,Intel Integrated Graphics,,,14” 3K 120 Hz OLED HDR display,,Long-lasting 75 Wh battery,"Windows 11 Home - ASUS recommends Windows 11 Pro for business | Thin and light: 1.39 cm, 1.3 kg | Intel ® Evo™ certified laptop | Dedicated Copilot key for more AI exploration"
